Date,Number of Events
2019-11-01,1445360
2019-11-02,1555538
2019-11-03,1567774
2019-11-04,1793128
2019-11-05,1717244
2019-11-06,1694821
2019-11-07,1796833
2019-11-08,1896402
2019-11-09,1877906
2019-11-10,1940575
2019-11-11,2009390
2019-11-12,1987569
2019-11-13,2019165
2019-11-14,3069726
2019-11-15,6220416
2019-11-16,6502957
2019-11-17,6395377
2019-11-18,2021512
2019-11-19,1728541
2019-11-20,1700086
2019-11-21,1677336
2019-11-22,1568243
2019-11-23,1561716
2019-11-24,1591765
2019-11-25,1593582
2019-11-26,1654879
2019-11-27,1646456
2019-11-28,1658378
2019-11-29,1854426
2019-11-30,1754878
