Date,Number of Events
2019-10-01,1244245
2019-10-02,1191328
2019-10-03,1127303
2019-10-04,1417190
2019-10-05,1330339
2019-10-06,1318379
2019-10-07,1200531
2019-10-08,1370633
2019-10-09,1347543
2019-10-10,1284077
2019-10-11,1495343
2019-10-12,1479896
2019-10-13,1639071
2019-10-14,1454702
2019-10-15,1542225
2019-10-16,1522390
2019-10-17,1407007
2019-10-18,1481799
2019-10-19,1449293
2019-10-20,1509992
2019-10-21,1405416
2019-10-22,1416872
2019-10-23,1381126
2019-10-24,1316501
2019-10-25,1435328
2019-10-26,1347268
2019-10-27,1388553
2019-10-28,1260880
2019-10-29,1227910
2019-10-30,1210145
2019-10-31,1245479
