Date,Type of Events,Number of Events
2019-10-01,cart,16658
2019-10-01,purchase,19307
2019-10-01,view,1208280
2019-10-02,cart,17268
2019-10-02,purchase,19469
2019-10-02,view,1154591
2019-10-03,cart,19323
2019-10-03,purchase,19255
2019-10-03,view,1088725
2019-10-04,cart,43829
2019-10-04,purchase,27041
2019-10-04,view,1346320
2019-10-05,cart,35497
2019-10-05,purchase,23494
2019-10-05,view,1271348
2019-10-06,cart,32146
2019-10-06,purchase,22171
2019-10-06,view,1264062
2019-10-07,cart,18052
2019-10-07,purchase,21378
2019-10-07,view,1161101
2019-10-08,cart,18442
2019-10-08,purchase,23072
2019-10-08,view,1329119
2019-10-09,cart,18432
2019-10-09,purchase,22748
2019-10-09,view,1306363
2019-10-10,cart,18997
2019-10-10,purchase,21993
2019-10-10,view,1243087
2019-10-11,cart,21450
2019-10-11,purchase,26224
2019-10-11,view,1447669
2019-10-12,cart,20691
2019-10-12,purchase,25373
2019-10-12,view,1433832
2019-10-13,cart,24833
2019-10-13,purchase,29561
2019-10-13,view,1584677
2019-10-14,cart,44858
2019-10-14,purchase,28405
2019-10-14,view,1381439
2019-10-15,cart,49548
2019-10-15,purchase,26372
2019-10-15,view,1466305
2019-10-16,cart,45279
2019-10-16,purchase,31394
2019-10-16,view,1445717
2019-10-17,cart,40378
2019-10-17,purchase,28318
2019-10-17,view,1338311
2019-10-18,cart,40144
2019-10-18,purchase,25850
2019-10-18,view,1415805
2019-10-19,cart,39465
2019-10-19,purchase,24657
2019-10-19,view,1385171
2019-10-20,cart,40534
2019-10-20,purchase,25098
2019-10-20,view,1444360
2019-10-21,cart,36675
2019-10-21,purchase,25167
2019-10-21,view,1343574
2019-10-22,cart,36953
2019-10-22,purchase,25385
2019-10-22,view,1354534
2019-10-23,cart,36407
2019-10-23,purchase,24731
2019-10-23,view,1319988
2019-10-24,cart,35723
2019-10-24,purchase,23999
2019-10-24,view,1256779
2019-10-25,cart,36815
2019-10-25,purchase,23929
2019-10-25,view,1374584
2019-10-26,cart,34776
2019-10-26,purchase,22653
2019-10-26,view,1289839
2019-10-27,cart,34256
2019-10-27,purchase,23403
2019-10-27,view,1330894
2019-10-28,cart,17838
2019-10-28,purchase,21112
2019-10-28,view,1221930
2019-10-29,cart,17455
2019-10-29,purchase,20374
2019-10-29,view,1190081
2019-10-30,cart,16996
2019-10-30,purchase,20817
2019-10-30,view,1172332
2019-10-31,cart,16798
2019-10-31,purchase,20099
2019-10-31,view,1208582
